timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478106833.27,-0.689873,1.269562,-2.281777,2.963744,4.702406,-4.558829,-0.188831,-0.954971,-0.228852,0.039997,-0.592194,0.125595,-30.322910,-27.554703,-2.330575,,,,,,
1478106833.29,-0.422863,1.368400,-2.446306,3.147823,5.718551,-4.208764,-0.082492,-0.979588,-0.183312,0.047595,-0.606731,0.166756,-30.322910,-27.554703,-2.330575,,,,,,
1478106833.31,0.140612,1.444349,-2.894745,3.109607,6.078331,-4.137352,0.017674,-0.992016,-0.124866,0.165782,-0.558902,0.181949,-25.941963,-31.534616,-4.093256,,,,,,
1478106833.33,1.090806,1.442426,2.551309,2.746022,5.841637,-4.346892,0.113552,-0.991772,-0.059115,0.293598,-0.720234,0.112185,-22.678755,-33.835911,-4.997713,,,,,,
1478106833.35,1.596231,1.368369,2.156722,2.075153,5.714149,-4.128598,0.200983,-0.979581,0.005113,0.603659,-0.955416,-0.132982,-17.151535,-36.842644,-5.711078,,,,,,
1478106833.37,1.800154,1.292061,2.053228,1.475788,4.641776,-3.273423,0.267935,-0.961404,0.062554,0.696420,-0.885337,-0.292931,-17.151535,-36.842644,-5.711078,,,,,,
1478106833.39,1.899312,1.237488,2.030427,0.837954,3.436231,-2.031356,0.309675,-0.944965,0.105558,0.955172,-0.725796,-0.286329,-12.152758,-38.732113,-6.025454,,,,,,
1478106833.41,1.954632,1.214034,2.024464,0.337795,1.885702,-0.548322,0.323830,-0.937033,0.130784,0.453163,-0.658121,-0.423249,-12.152758,-38.732113,-6.025454,,,,,,
1478106833.43,1.982513,1.212012,2.020982,-0.056085,0.958886,0.187046,0.321794,-0.936324,0.140519,0.184462,-0.576890,-0.357758,-9.168605,-39.519630,-6.189299,,,,,,
1478106833.45,1.993108,1.223015,2.023757,-0.386960,0.468633,0.631740,0.310871,-0.940131,0.139689,-0.023822,-0.395196,-0.294840,-9.262290,-39.439468,-6.550622,,,,,,
1478106833.47,1.999800,1.242102,2.016340,-0.100522,-0.376512,1.132836,0.293555,-0.946465,0.134277,-0.085028,-0.123192,-0.087035,-9.262290,-39.439468,-6.550622,,,,,,
1478106833.49,2.028996,1.269010,1.971962,0.089725,-0.689353,1.726596,0.266568,-0.954807,0.131473,-0.199505,0.037006,-0.068546,-10.367919,-39.113987,-6.839196,,,,,,
1478106833.51,2.095057,1.304077,1.884639,0.325221,-1.092331,2.412048,0.228170,-0.964641,0.131935,-0.501989,-0.185445,-0.145256,-12.619226,-38.520088,-6.413280,,,,,,
1478106833.53,2.210222,1.348331,1.739906,0.189024,-1.288285,2.972232,0.177046,-0.975357,0.131660,-0.508497,-0.097764,-0.149666,-12.619226,-38.520088,-6.413280,,,,,,
1478106833.55,2.411671,1.393553,1.506748,0.205939,-1.381392,3.343045,0.117570,-0.984333,0.131396,-0.660768,-0.000988,-0.238757,-16.016300,-37.367943,-5.593484,,,,,,
1478106833.57,2.781051,1.428743,1.110339,0.077649,-0.934482,3.829878,0.049945,-0.989927,0.132474,-0.788486,-0.141588,-0.065289,-19.908209,-35.576061,-4.709473,,,,,,
1478106833.59,-2.916261,1.432364,0.505724,0.079910,-0.313476,3.862000,-0.030831,-0.990434,0.134502,-0.529838,0.179169,0.260807,-19.908209,-35.576061,-4.709473,,,,,,
1478106833.61,-2.534840,1.408968,0.123111,-0.155346,0.470476,2.762148,-0.091873,-0.986934,0.132363,0.148681,-0.438603,0.159934,-24.103903,-32.944904,-4.219885,,,,,,
1478106833.63,-2.223167,1.367793,-0.176155,-0.465887,0.846411,3.659941,-0.160211,-0.979465,0.122393,-0.255912,-0.660626,-0.262240,-26.976307,-30.537458,-4.890270,,,,,,
1478106833.65,-2.029913,1.312834,-0.359932,-0.361524,0.838697,3.180631,-0.228693,-0.966912,0.113054,-0.018942,0.604439,0.307173,-26.976307,-30.537458,-4.890270,,,,,,
1478106833.67,-1.898654,1.260156,-0.481723,-0.519122,0.505022,3.086507,-0.289387,-0.952138,0.098430,-0.159328,0.370351,-0.063640,-29.825832,-27.568081,-5.881560,,,,,,
1478106833.69,-1.809054,1.210326,-0.565581,-0.782782,0.589796,2.552233,-0.342751,-0.935731,0.083244,-0.462364,0.023988,0.347328,-31.378740,-25.623968,-6.554311,,,,,,
1478106833.71,-1.725421,1.169313,-0.636664,-0.925042,1.050105,2.175963,-0.386122,-0.920482,0.060184,-0.101488,-0.075444,0.034054,-33.061012,-23.033951,-7.783236,,,,,,
1478106833.73,-1.653473,1.129885,-0.695909,-1.027036,0.768276,2.069162,-0.425306,-0.904363,0.035243,0.103819,-0.009944,0.015721,-33.061012,-23.033951,-7.783236,,,,,,
1478106833.75,-1.595950,1.086940,-0.750702,-1.099036,0.176322,2.311833,-0.465049,-0.885207,0.011700,0.210960,-0.111008,0.007144,-34.221016,-20.647717,-9.314838,,,,,,
1478106833.77,-1.562624,1.043113,-0.791510,-0.872154,-0.257231,2.047873,-0.503517,-0.863976,-0.004115,-0.093285,0.020317,-0.179509,-35.485111,-17.989264,-10.068040,,,,,,
1478106833.79,-1.547355,1.006547,-0.817083,-0.577822,-0.370352,1.689276,-0.534634,-0.844990,-0.012535,-0.085193,-0.002345,-0.221337,-35.485111,-17.989264,-10.068040,,,,,,
1478106833.81,-1.544667,0.976189,-0.830025,-0.293847,-0.363002,1.401015,-0.559992,-0.828369,-0.014636,-0.217733,0.008346,-0.047437,-36.509392,-15.812451,-10.059963,,,,,,
1478106833.83,-1.544901,0.952467,-0.834652,-0.086548,-0.122921,1.026369,-0.579480,-0.814848,-0.015009,-0.216083,-0.032640,-0.052725,-36.509392,-15.812451,-10.059963,,,,,,
1478106833.85,-1.549243,0.938073,-0.831056,0.205592,-0.040921,0.548475,-0.591206,-0.806420,-0.012745,-0.384090,-0.285179,0.028110,-37.360691,-13.868073,-9.799369,,,,,,
1478106833.87,-1.562023,0.932903,-0.815725,0.594415,-0.007002,0.094182,-0.595482,-0.803352,-0.005224,-0.443947,-1.002236,0.194052,-37.574455,-13.392336,-9.642500,,,,,,
1478106833.89,-1.581444,0.935253,-0.791316,0.742615,0.140055,-0.203872,-0.593581,-0.804749,0.006320,-0.428834,-1.533645,0.441830,-37.574455,-13.392336,-9.642500,,,,,,
1478106833.91,-1.601215,0.931840,-0.757347,1.289101,0.258727,0.404468,-0.596082,-0.802718,0.018138,0.203641,-2.539704,0.235524,-37.522369,-13.691063,-9.423306,,,,,,
1478106833.93,-1.661191,0.921375,-0.697888,2.007194,-1.147581,0.302026,-0.602257,-0.796434,0.054590,1.694908,-3.030257,0.289069,-37.548035,-13.696435,-9.312615,,,,,,
1478106833.95,-1.727405,0.941559,-0.648606,0.521991,-0.975441,-2.451742,-0.581326,-0.808477,0.091793,2.967968,-1.893702,0.762196,-37.755135,-14.338160,-7.289678,,,,,,
1478106833.97,-1.679291,0.950899,-0.706414,-2.988441,0.767712,3.321991,-0.577536,-0.813938,0.062906,2.674796,-2.545269,0.086721,-37.755135,-14.338160,-7.289678,,,,,,
1478106833.99,-1.628511,0.813651,-0.765211,0.472591,-0.465244,7.507841,-0.685706,-0.726799,0.039619,1.020240,-0.181480,-1.532722,-37.894958,-13.531254,-8.065323,,,,,,
1478106834.01,-1.565503,0.619881,-0.754549,0.516113,4.879031,11.265227,-0.813936,-0.580938,-0.004309,1.572817,-2.781061,0.501592,-37.894958,-13.531254,-8.065323,,,,,,
1478106834.03,-1.496797,0.398104,-0.736335,-0.458897,3.286806,9.793760,-0.919275,-0.387671,-0.068150,2.394480,-4.858804,0.371602,-39.326504,0.649500,-11.712235,,,,,,
1478106834.05,-1.449012,0.253631,-0.792970,-4.461089,0.378665,5.377928,-0.960838,-0.250921,-0.117597,2.677833,-2.856730,1.092587,-38.003471,6.921887,-13.856252,,,,,,
1478106834.07,-1.440611,0.157954,-0.860359,-3.187455,-0.308691,4.293147,-0.979194,-0.157298,-0.128201,2.983848,-2.097326,0.647366,-35.606754,15.214729,-13.595709,,,,,,
